chrI+	1340705	1341253
chrI+	2878580	2880864
chrI+	3787591	3788912
chrI+	3788033	3788912
chrI+	3788039	3788864
chrI+	4132502	4135063
chrI+	4132502	4135240
chrI+	4133033	4135063
chrI+	5324365	5330215
chrI+	5736089	5741577
chrI+	5829393	5834643
chrI+	5829395	5834314
chrI+	5832070	5834314
chrI+	6496912	6499554
chrI+	6497342	6499512
chrI+	6497441	6499467
chrI+	6497441	6499467
chrI+	6497443	6499467
chrI+	6926152	6929662
chrI+	7099730	7101760
chrI+	7387354	7388712
chrI+	7726644	7726870
chrI+	8728762	8730049
chrI+	8768194	8771177
chrI+	8768512	8771173
chrI+	8768514	8771173
chrI+	8768514	8771173
chrI+	8768514	8771173
chrI+	8768516	8771173
chrI+	8768520	8771173
chrI+	8840476	8841119
chrI+	9163428	9166803
chrI+	9163428	9166819
chrI+	9163496	9166819
chrI+	9163496	9166968
chrI+	9163565	9167191
chrI+	9689174	9690066
chrI+	9689186	9690086
chrI+	10330861	10331735
chrI+	10330868	10331724
chrI+	10436103	10436868
chrI+	10518365	10519148
chrI+	10567877	10568997
chrI+	10567882	10568950
chrI+	10667797	10670957
chrI+	10726756	10727316
chrI+	11271699	11272336
chrI+	13938021	13941848
chrI+	14756697	14758417
chrI+	14757047	14758772
chrI+	14757049	14758417
chrI+	14757050	14758417
chrI+	14759916	14761104
chrII+	1321005	1322867
chrII+	1321042	1323093
chrII+	1321044	1322567
chrII+	2095156	2098672
chrII+	2154014	2155241
chrII+	3217753	3218985
chrII+	3553681	3554613
chrII+	4301601	4305270
chrII+	4355629	4358810
chrII+	4834918	4835699
chrII+	4842570	4842900
chrII+	5014711	5015303
chrII+	5112743	5114109
chrII+	5537807	5538975
chrII+	5666132	5666817
chrII+	6014280	6015775
chrII+	7879698	7880341
chrII+	8143787	8144595
chrII+	8143805	8144594
chrII+	8325242	8329515
chrII+	8569850	8570974
chrII+	8569852	8570883
chrII+	8602710	8603506
chrII+	8602712	8603505
chrII+	8602712	8603505
chrII+	8602712	8603505
chrII+	8602712	8603506
chrII+	9213467	9214334
chrII+	10309402	10309982
chrII+	10947526	10949099
chrII+	11106540	11107987
chrII+	11409959	11411433
chrII+	11547427	11549094
chrII+	11653009	11654085
chrII+	11653034	11654002
chrII+	11916421	11917553
chrII+	11916423	11917552
chrII+	13157237	13160305
chrII+	13703630	13712799
chrII+	14155177	14155514
chrII+	14155177	14155527
chrIII+	573832	576283
chrIII+	725114	726264
chrIII+	3644355	3649696
chrIII+	3644367	3648754
chrIII+	3867827	3869476
chrIII+	3867831	3869504
chrIII+	3867833	3869476
chrIII+	3867833	3869476
chrIII+	3867833	3869479
chrIII+	3867842	3869476
chrIII+	3956602	3957452
chrIII+	4475887	4476850
chrIII+	4475887	4477093
chrIII+	5196022	5196622
chrIII+	5219265	5220007
chrIII+	5228371	5230491
chrIII+	5564982	5567338
chrIII+	5679245	5680135
chrIII+	5679245	5680136
chrIII+	5679250	5680132
chrIII+	5679250	5680135
chrIII+	5679250	5680136
chrIII+	6206746	6207910
chrIII+	6206748	6207874
chrIII+	7855061	7855569
chrIII+	7855061	7855572
chrIII+	7948768	7950889
chrIII+	9081490	9082425
chrIII+	9081740	9082403
chrIII+	9101279	9103006
chrIII+	9941543	9942192
chrIII+	11142331	11154033
chrIII+	12250559	12250870
chrIII+	12318839	12322783
chrIII+	12327687	12332142
chrIII+	12327719	12332142
chrIII+	13499085	13501373
chrIII+	13780109	13781013
chrIV+	210751	213311
chrIV+	385888	386609
chrIV+	385895	386609
chrIV+	1216478	1218270
chrIV+	2136812	2146319
chrIV+	2136895	2146460
chrIV+	2136957	2146319
chrIV+	3998465	4005260
chrIV+	4267625	4268192
chrIV+	4884137	4886852
chrIV+	4917915	4919622
chrIV+	5111482	5112865
chrIV+	5163330	5164341
chrIV+	5163348	5164281
chrIV+	5319243	5325031
chrIV+	5360853	5362065
chrIV+	5915855	5921380
chrIV+	5934429	5937429
chrIV+	6191121	6191533
chrIV+	7154708	7156000
chrIV+	7797026	7799202
chrIV+	7797026	7800399
chrIV+	8294673	8299268
chrIV+	8334281	8334747
chrIV+	10769624	10777720
chrIV+	10769626	10777529
chrIV+	11602605	11603249
chrIV+	11602611	11603255
chrIV+	11950566	11952046
chrIV+	12031286	12032115
chrIV+	12031296	12032066
chrIV+	12075789	12076885
chrIV+	12268961	12269503
chrIV+	12291023	12293257
chrIV+	12805901	12812997
chrIV+	13777834	13778716
chrIV+	14825636	14826397
chrIV+	14825636	14826881
chrIV+	14825639	14826392
chrIV+	14825641	14826392
chrIV+	14825641	14826409
chrIV+	14825641	14826850
chrIV+	14837128	14853588
chrIV+	14950577	14954157
chrIV+	14981440	14996279
chrIV+	15179884	15182914
chrIV+	15321583	15322141
chrIV+	16444514	16446666
chrIV+	16773639	16785015
chrIV+	16801890	16804038
chrIV+	17223735	17224942
chrIV+	17278912	17281289
chrIV+	17278914	17281139
chrM+	87	549
chrM+	403	783
chrM+	1644	2635
chrM+	2722	3235
chrM+	3343	4269
chrM+	4389	5621
chrM+	5566	6449
chrM+	6386	7808
chrM+	7801	9428
chrM+	9831	10348
chrM+	11640	13272
chrV+	856680	858283
chrV+	1178064	1178655
chrV+	1447861	1448619
chrV+	2068393	2069376
chrV+	3976928	3978624
chrV+	3987714	3988120
chrV+	4570958	4579927
chrV+	5717568	5721892
chrV+	6281234	6284676
chrV+	7528927	7529221
chrV+	8143420	8146661
chrV+	8375949	8377697
chrV+	8581325	8583334
chrV+	9126483	9127396
chrV+	9737301	9744030
chrV+	9739366	9744030
chrV+	9739366	9746075
chrV+	10965481	10967679
chrV+	10965481	10967724
chrV+	10965566	10967724
chrV+	10965567	10967724
chrV+	10965572	10967724
chrV+	11113721	11117959
chrV+	11113721	11118557
chrV+	11113721	11118615
chrV+	11472368	11473264
chrV+	12365231	12365670
chrV+	12952447	12952996
chrV+	12993436	12994431
chrV+	14354218	14355528
chrV+	14373047	14375606
chrV+	14685609	14688351
chrV+	14685969	14688341
chrV+	14971258	14971833
chrV+	15211826	15213512
chrV+	15221339	15222920
chrV+	15444730	15445141
chrV+	16789132	16792549
chrV+	17706970	17709620
chrV+	20727156	20728424
chrX+	301833	307031
chrX+	302742	307031
chrX+	2074443	2075936
chrX+	4469740	4471365
chrX+	4524060	4526502
chrX+	4524060	4526505
chrX+	4524210	4526496
chrX+	4524210	4526496
chrX+	4960371	4966192
chrX+	4960547	4964476
chrX+	4960547	4964527
chrX+	4960587	4963951
chrX+	4960587	4963951
chrX+	4960587	4963951
chrX+	4960587	4963951
